City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
iida,80.0,JP,1538708958.0,73.0,35.45,137.9,68.45,1.81
omboue,64.0,GA,1538708958.0,100.0,-1.57,9.26,77.99,7.96
tubuala,40.0,PA,1538704800.0,83.0,9.52,-79.03,78.8,5.82
saryozek,0.0,KZ,1538709024.0,55.0,44.36,77.98,52.16,3.15
le port,0.0,FR,1538709025.0,83.0,42.87,1.37,31.64,1.48
quatre cocos,75.0,MU,1538704800.0,60.0,-20.21,57.76,71.6,10.29
yarmouth,90.0,GB,1538707800.0,93.0,50.71,-1.5,55.4,3.36
macamic,5.0,CA,1538704800.0,92.0,48.75,-79.0,26.6,2.24
fairbanks,1.0,US,1538704680.0,6.0,64.84,-147.72,60.08,4.7
behbahan,0.0,IR,1538704800.0,32.0,30.59,50.24,69.8,4.7
bud,80.0,NO,1538707800.0,87.0,62.91,6.91,46.4,20.8
luneville,0.0,FR,1538708400.0,93.0,48.6,6.5,44.6,2.71
ponta delgada,40.0,PT,1538706600.0,77.0,37.73,-25.67,69.8,12.75
puerto carreno,40.0,CO,1538704800.0,94.0,6.19,-67.49,77.0,5.17
kirakira,44.0,SB,1538709028.0,100.0,-10.46,161.92,82.22,12.77
altay,0.0,CN,1538709029.0,54.0,47.83,88.13,35.78,3.04
sharjah,0.0,AE,1538704800.0,79.0,25.36,55.39,84.2,4.7
poum,0.0,MK,1538709029.0,89.0,41.28,20.71,38.39,1.7
hamilton,5.0,CA,1538704800.0,87.0,43.26,-79.87,51.8,6.93
abu samrah,0.0,SY,1538709030.0,89.0,35.3,37.18,56.84,6.17
portland,20.0,US,1538707980.0,51.0,45.52,-122.67,60.08,4.7
taltal,88.0,CL,1538709031.0,90.0,-25.41,-70.49,56.39,0.25
gornozavodsk,92.0,RU,1538709031.0,98.0,58.37,58.33,45.59,8.3
zhigansk,88.0,RU,1538709032.0,85.0,66.77,123.37,33.26,7.18
matagami,76.0,NG,1538709032.0,95.0,9.67,8.4,65.93,2.59
luena,56.0,AO,1538709033.0,68.0,-11.78,19.91,62.33,1.81
starogard gdanski,90.0,PL,1538708400.0,93.0,53.96,18.53,51.8,9.17
sao filipe,0.0,CV,1538709033.0,97.0,14.9,-24.5,79.43,9.08
nechanice,0.0,CZ,1538704800.0,93.0,50.24,15.63,42.8,4.7
jiexiu,12.0,CN,1538709034.0,53.0,37.02,111.92,65.39,3.71
havoysund,0.0,NO,1538707800.0,80.0,71.0,24.66,30.2,9.17
juybar,64.0,IR,1538709034.0,94.0,36.64,52.91,67.19,3.15
boende,64.0,CD,1538709035.0,97.0,-0.28,20.88,71.69,2.37
pudozh,0.0,RU,1538709035.0,83.0,61.81,36.54,32.63,11.1
port huron,40.0,US,1538706900.0,87.0,42.98,-82.44,50.0,3.36
mao,75.0,DO,1538704800.0,100.0,19.55,-71.08,75.2,4.7
aguimes,20.0,ES,1538708400.0,83.0,27.91,-15.45,71.6,4.27
arlit,100.0,NE,1538709036.0,24.0,18.74,7.39,86.0,1.36
san quintin,20.0,PH,1538708400.0,66.0,17.54,120.52,84.2,4.7
rakamaz,0.0,HU,1538706600.0,86.0,48.12,21.48,39.2,2.24
valle de allende,36.0,MX,1538709037.0,47.0,26.94,-105.39,68.81,5.95
yichang,0.0,CN,1538709037.0,68.0,30.77,111.32,74.03,3.71
verkhnyaya toyma,92.0,RU,1538709038.0,98.0,62.24,45.0,35.96,10.98
cayenne,0.0,GF,1538706600.0,100.0,4.94,-52.33,77.0,2.24
nacala,12.0,MZ,1538709038.0,100.0,-14.56,40.69,74.57,11.1
saint-georges,20.0,CA,1538709039.0,77.0,46.12,-70.67,48.65,7.74
touros,88.0,BR,1538709104.0,86.0,-5.2,-35.46,77.27,12.55
contamana,24.0,PE,1538709104.0,96.0,-7.35,-75.01,74.3,0.92
vilhena,68.0,BR,1538709105.0,95.0,-12.74,-60.15,72.14,2.15
svetlogorsk,90.0,RU,1538706600.0,87.0,53.14,59.15,50.0,6.71
xiamen,0.0,CN,1538704800.0,39.0,24.46,118.07,80.6,4.47
lompoc,1.0,US,1538706900.0,77.0,34.64,-120.46,64.94,3.36
aketi,0.0,CD,1538709106.0,95.0,2.74,23.78,69.89,2.15
cairns,0.0,AU,1538706600.0,54.0,-16.92,145.77,80.6,10.29
hinton,20.0,CA,1538709107.0,75.0,53.4,-117.57,28.76,2.26
sisimiut,0.0,GL,1538709107.0,100.0,66.94,-53.67,17.51,6.06
loding,20.0,DE,1538706000.0,93.0,48.05,12.68,39.2,1.12
benjamin constant,40.0,BR,1538704800.0,100.0,-4.38,-70.03,77.0,0.92
margate,20.0,AU,1538706600.0,44.0,-43.03,147.26,57.2,9.17
ambatondrazaka,56.0,MG,1538709109.0,91.0,-17.82,48.43,56.3,1.92
vanavara,56.0,RU,1538709109.0,71.0,60.35,102.28,37.04,3.71
hearst,20.0,CA,1538709109.0,76.0,49.69,-83.67,27.68,2.48
kargasok,32.0,RU,1538709110.0,61.0,59.06,80.87,52.16,6.29
torquay,0.0,GB,1538709110.0,97.0,50.47,-3.52,53.96,4.72
beloha,56.0,MG,1538709110.0,87.0,-25.17,45.06,61.16,3.71
havre-saint-pierre,75.0,CA,1538706780.0,93.0,50.23,-63.6,46.4,13.87
lowestoft,0.0,GB,1538707800.0,100.0,52.48,1.75,51.8,9.17
preobrazheniye,80.0,RU,1538709111.0,48.0,42.9,133.91,63.32,2.59
altdorf,0.0,DE,1538707800.0,86.0,48.63,9.0,41.0,3.36
petropavlovsk-kamchatskiy,0.0,RU,1538706600.0,32.0,53.05,158.65,55.4,24.61
kogon,0.0,UZ,1538708400.0,58.0,39.73,64.54,59.0,4.7
lagoa,0.0,PT,1538706600.0,56.0,37.14,-8.45,69.8,6.93
correntina,44.0,BR,1538709113.0,44.0,-13.34,-44.63,80.69,6.96
truth or consequences,1.0,US,1538707980.0,24.0,33.13,-107.25,75.92,6.93
rakai,12.0,UG,1538709114.0,93.0,-0.71,31.4,58.28,2.93
mattru,88.0,SL,1538709114.0,98.0,7.62,-11.83,72.5,3.94
calamar,48.0,CO,1538709115.0,92.0,1.96,-72.65,75.74,2.37
tibagi,76.0,BR,1538709115.0,94.0,-24.52,-50.41,61.88,7.07
rio grande,44.0,BR,1538708851.0,94.0,-32.03,-52.1,56.12,15.23
mahenge,88.0,TZ,1538709116.0,69.0,-8.68,36.72,73.94,4.72
heihe,0.0,RU,1538706600.0,37.0,50.24,127.51,71.6,8.95
boajibu,76.0,SL,1538709117.0,98.0,8.19,-11.34,69.89,3.38
ternate,40.0,PH,1538708400.0,74.0,14.29,120.72,86.0,6.93
seminole,1.0,US,1538708100.0,88.0,32.72,-102.64,71.6,8.05
chuy,0.0,UY,1538709118.0,95.0,-33.69,-53.46,45.95,6.73
tuatapere,48.0,NZ,1538709119.0,100.0,-46.13,167.69,48.65,13.67
hovd,90.0,NO,1538707800.0,81.0,63.83,10.7,44.6,14.99
kirkwall,68.0,GB,1538707800.0,81.0,58.98,-2.96,46.4,21.92
chicama,90.0,PE,1538704800.0,88.0,-7.84,-79.15,64.4,8.05
aykhal,0.0,RU,1538709185.0,76.0,65.95,111.51,29.39,3.94
san patricio,92.0,PY,1538709185.0,56.0,-26.98,-56.83,64.31,6.29
gwadar,0.0,PK,1538709185.0,94.0,25.12,62.33,76.91,2.82
lanzhou,40.0,CN,1538704800.0,40.0,36.06,103.82,51.8,8.95
noshiro,0.0,JP,1538704800.0,64.0,40.21,140.05,71.6,3.36
concepcion,88.0,CO,1538709187.0,97.0,9.56,-73.66,74.3,1.7
iquique,0.0,CL,1538704800.0,77.0,-20.22,-70.14,64.4,10.29
sorland,75.0,NO,1538707800.0,70.0,67.67,12.69,42.8,5.82
russell,0.0,AR,1538704800.0,51.0,-33.01,-68.8,62.6,2.24
ukiah,1.0,US,1538704560.0,62.0,39.15,-123.21,60.98,1.92
chute-aux-outardes,1.0,CA,1538704800.0,48.0,49.12,-68.38,44.6,11.41
alofi,36.0,NU,1538709188.0,91.0,-19.06,-169.92,79.88,14.23
menongue,0.0,AO,1538709189.0,26.0,-14.66,17.68,59.99,4.72
sur,0.0,OM,1538709189.0,85.0,22.57,59.53,85.01,6.62
mocuba,0.0,MZ,1538709189.0,82.0,-16.84,36.99,68.09,4.94
port hedland,0.0,AU,1538706600.0,18.0,-20.31,118.58,96.8,9.17
zhurivka,0.0,UA,1538708400.0,86.0,50.5,31.77,39.2,6.71
kommunisticheskiy,88.0,RU,1538709190.0,92.0,61.68,64.48,49.46,8.97
ekuvukeni,0.0,ZA,1538709191.0,82.0,-28.47,30.16,29.84,2.59
yabassi,40.0,CM,1538704800.0,100.0,4.46,9.97,73.4,2.24
baft,12.0,IR,1538709191.0,57.0,29.23,56.61,43.88,2.93
reriutaba,8.0,BR,1538709191.0,80.0,-4.14,-40.58,71.51,4.38
goderich,0.0,CA,1538709192.0,78.0,43.74,-81.71,48.2,11.21
baghmara,0.0,IN,1538709192.0,76.0,23.8,86.21,83.39,3.94
lazaro cardenas,75.0,MX,1538704020.0,47.0,28.39,-105.62,77.0,6.93
dongsheng,0.0,CN,1538709193.0,62.0,29.72,112.52,76.46,5.17
kabo,36.0,CF,1538709193.0,96.0,7.69,18.62,69.44,3.04
mananjary,0.0,MG,1538709193.0,84.0,-19.16,46.8,47.3,3.6
cam ranh,68.0,VN,1538709194.0,100.0,11.92,109.15,79.16,11.65
zhangjiakou,0.0,CN,1538709194.0,42.0,40.77,114.88,64.13,4.05
tasiilaq,0.0,GL,1538707800.0,58.0,65.61,-37.64,28.4,2.24
buchanan,64.0,LR,1538709195.0,100.0,5.88,-10.05,78.53,6.62
huaiyin,0.0,CN,1538709195.0,63.0,33.59,119.02,75.29,15.79
reinosa,0.0,ES,1538708400.0,100.0,43.0,-4.14,53.6,2.24
ust-nera,76.0,RU,1538709196.0,87.0,64.57,143.24,20.66,2.59
vanimo,44.0,PG,1538709196.0,100.0,-2.67,141.3,83.48,6.17
huilong,0.0,CN,1538709196.0,45.0,28.89,110.18,72.23,3.83
noboribetsu,75.0,JP,1538706600.0,42.0,42.42,141.1,66.2,10.29
charters towers,0.0,AU,1538709197.0,67.0,-20.07,146.27,81.32,6.73
mairang,40.0,IN,1538706600.0,100.0,25.56,91.64,80.6,2.24
aberdeen,90.0,US,1538707980.0,100.0,45.47,-98.49,37.04,12.75
rio gallegos,0.0,AR,1538704800.0,60.0,-51.62,-69.22,42.8,9.17
vardo,90.0,US,1538708100.0,90.0,39.62,-77.74,75.92,3.36
fuling,36.0,CN,1538709198.0,82.0,29.71,107.39,70.16,3.71
pundaguitan,36.0,PH,1538709199.0,99.0,6.37,126.17,83.66,4.61
san cristobal,40.0,EC,1538704800.0,81.0,-0.39,-78.55,53.6,3.36
bay city,1.0,US,1538706900.0,81.0,43.59,-83.89,46.94,3.36
payo,8.0,ID,1538709265.0,52.0,-3.75,103.64,91.13,7.74
ballina,32.0,IE,1538709265.0,99.0,54.11,-9.15,42.71,4.16
novoagansk,0.0,RU,1538709266.0,89.0,61.94,76.66,45.41,7.74
khadyzhensk,80.0,RU,1538709266.0,84.0,44.42,39.54,46.13,3.6
puerto escondido,90.0,MX,1538703600.0,74.0,15.86,-97.07,82.4,3.36
mecca,24.0,SA,1538709266.0,65.0,21.43,39.83,67.91,2.48
port hardy,75.0,CA,1538708400.0,87.0,50.7,-127.42,46.4,2.24
gwanda,44.0,ZW,1538709267.0,84.0,-20.94,29.0,50.36,10.87
nome,1.0,US,1538708100.0,87.0,30.04,-94.42,78.98,3.36
lasa,0.0,CY,1538708400.0,55.0,34.92,32.53,69.8,6.93
kormilovka,40.0,RU,1538706600.0,66.0,55.0,74.1,48.2,2.24
deogarh,0.0,IN,1538709268.0,83.0,21.53,84.72,82.58,3.94
lima,36.0,PE,1538709123.0,75.0,-12.06,-77.04,59.27,1.7
necochea,0.0,AR,1538709269.0,91.0,-38.55,-58.74,45.05,8.08
crato,80.0,BR,1538709269.0,53.0,-7.24,-39.41,74.39,2.37
grafton,92.0,AU,1538709270.0,100.0,-29.69,152.93,61.97,2.93
segezha,0.0,RU,1538709270.0,100.0,63.74,34.31,30.38,6.73
marsa matruh,0.0,EG,1538704800.0,78.0,31.35,27.25,77.0,5.82
popondetta,64.0,PG,1538709271.0,84.0,-8.77,148.24,75.56,2.37
aden,0.0,YE,1538709271.0,93.0,12.79,45.03,83.03,3.04
tolaga bay,36.0,NZ,1538709271.0,66.0,-38.37,178.3,64.58,6.96
gezing,20.0,AT,1538707800.0,93.0,47.92,13.13,39.2,1.12
nemuro,20.0,JP,1538704800.0,52.0,43.32,145.57,66.2,9.17
mogadishu,88.0,SO,1538709008.0,98.0,2.04,45.34,78.71,13.78
burnie,0.0,AU,1538709272.0,100.0,-41.05,145.91,53.33,5.39
punalur,75.0,IN,1538708400.0,78.0,9.02,76.93,82.4,3.36
khambhat,20.0,IN,1538709273.0,78.0,22.32,72.62,84.38,5.39
kaitangata,32.0,NZ,1538709274.0,70.0,-46.28,169.85,51.8,19.04
anandnagar,40.0,IN,1538706600.0,58.0,18.71,73.3,86.0,6.93
sitka,8.0,US,1538709274.0,96.0,37.17,-99.65,63.41,9.19
pacifica,90.0,US,1538708040.0,67.0,37.61,-122.49,64.94,11.41
chimbote,12.0,PE,1538709275.0,93.0,-9.08,-78.59,61.61,6.17
eyrarbakki,40.0,IS,1538704800.0,64.0,63.86,-21.15,37.4,19.46
kaoma,8.0,ZM,1538709275.0,36.0,-14.8,24.8,69.89,12.66
broome,0.0,GB,1538708160.0,100.0,52.47,1.45,53.96,9.17
horta,8.0,ES,1538708400.0,82.0,41.43,2.16,62.6,5.82
dourados,8.0,BR,1538709276.0,69.0,-22.22,-54.81,70.79,14.0
mackenzie,1.0,CA,1538708400.0,47.0,55.34,-123.09,35.6,4.7
baiyin,40.0,CN,1538704800.0,40.0,36.55,104.13,51.8,8.95
chase,1.0,US,1538707680.0,80.0,43.89,-85.64,43.52,3.36
dharan,12.0,NP,1538709277.0,73.0,26.81,87.28,70.25,1.92
paoua,0.0,CF,1538709278.0,94.0,7.24,16.43,64.85,2.93
nadym,32.0,RU,1538709278.0,95.0,65.53,72.51,45.05,17.36
bundaberg,20.0,AU,1538709344.0,90.0,-24.87,152.35,72.23,8.97
tanhacu,0.0,BR,1538709344.0,76.0,-14.02,-41.25,70.16,4.5
dhidhdhoo,100.0,MV,1538709078.0,100.0,6.88,73.1,77.54,7.74
srednekolymsk,88.0,RU,1538709344.0,77.0,67.46,153.71,31.19,6.96
manokwari,20.0,ID,1538709345.0,100.0,-0.87,134.08,81.95,3.6
almaznyy,68.0,RU,1538709345.0,72.0,48.03,40.04,43.79,15.9
biskamzha,36.0,RU,1538709345.0,71.0,53.45,89.53,36.68,2.82
ahipara,32.0,NZ,1538709345.0,67.0,-35.17,173.16,65.66,9.42
manta,0.0,RO,1538709346.0,77.0,45.1,24.1,33.08,3.94
kiunga,20.0,PG,1538709346.0,74.0,-6.12,141.3,84.92,2.71
havelock,1.0,US,1538708040.0,97.0,34.88,-76.9,80.06,4.7
elesbao veloso,100.0,BR,1538709347.0,52.0,-6.2,-42.14,84.65,3.6
